bridge_id,degree,num_neighbors,component_increase,disconnected_nodes,k_hop_nodes,indirect_damage_score
BR_0031,267,267,0,0,276,2.22802613754084
BR_0737,266,266,0,0,277,2.2267909793609055
BR_0335,263,263,0,0,279,2.2195394055303215
BR_0568,257,257,0,0,287,2.2192206550322737
BR_0144,259,259,0,0,280,2.203960474938242
BR_0138,261,261,0,0,276,2.199338592716551
BR_0687,210,210,8,8,219,2.1817028812130586
BR_0139,256,256,0,0,277,2.1789784046537575
BR_0250,260,260,0,0,268,2.1661885409195953
BR_0467,222,222,5,5,237,2.142281728441642
BR_0431,251,251,0,0,270,2.1302494222647224
BR_0042,255,255,0,0,264,2.1280978564029005
BR_0163,203,203,8,8,212,2.1234113838825937
BR_0740,249,249,0,0,259,2.081679815124711
BR_0377,185,185,10,10,193,2.077056882654262
BR_0783,190,190,9,9,198,2.0651516565770582
BR_0248,247,247,0,0,256,2.061479002310941
BR_0015,241,241,0,0,264,2.0611602518128933
BR_0332,143,143,16,16,151,2.0485599579795473
BR_0477,244,244,0,0,254,2.0400430313172366
BR_0355,242,242,0,0,256,2.037572714957367
BR_0356,241,241,0,0,255,2.029245358195872
BR_0016,235,235,0,0,258,2.011196111243924
BR_0732,237,237,0,0,250,1.992389831859112
BR_0041,238,238,0,0,246,1.9829866921667065
BR_0249,237,237,0,0,247,1.9817515339867717
BR_0736,236,236,0,0,247,1.9769702765160573
BR_0686,37,37,31,31,42,1.958351991658924
BR_0533,225,225,0,0,246,1.9208303450474142
BR_0418,225,225,0,0,246,1.9208303450474142
BR_0546,224,224,0,0,244,1.908956888995139
BR_0247,224,224,0,0,233,1.8699497967965573
BR_0299,212,212,0,0,241,1.840943501474221
BR_0681,213,213,0,0,226,1.7925332695832337
BR_0729,211,211,0,0,221,1.7652402581879034
BR_0323,206,206,0,0,221,1.7413339708343294
BR_0534,202,202,0,0,222,1.7257550402422503
BR_0333,196,196,1,1,205,1.6903258173593778
BR_0743,202,202,0,0,211,1.686747948043669
BR_0510,198,198,0,0,216,1.6853534146147102
BR_0224,79,79,19,19,89,1.6833273534794675
BR_0730,201,201,0,0,211,1.681966690572954
BR_0680,200,200,0,0,212,1.6807315323930192
BR_0416,193,193,0,0,213,1.650808829388796
BR_0613,197,197,0,0,205,1.6415650649454139
BR_0053,196,196,0,0,205,1.636783807474699
BR_0721,170,170,4,4,179,1.6344405712145456
BR_0059,194,194,0,0,203,1.6201290939517092
BR_0246,186,186,1,1,193,1.5999600511628682
BR_0089,186,186,0,0,207,1.5960634313491115
BR_0765,172,172,3,3,179,1.5904610762712965
BR_0007,186,186,0,0,204,1.5854251334767708
BR_0167,34,34,24,24,43,1.5727602493448087
BR_0040,189,189,0,0,195,1.567854012271894
BR_0038,142,142,7,7,149,1.5548084129651634
BR_0545,181,181,0,0,199,1.5437883496692963
BR_0002,180,180,0,0,197,1.5319148936170213
BR_0334,182,182,0,0,190,1.51665471352299
BR_0109,136,136,7,7,146,1.5154825702685342
BR_0578,180,180,0,0,191,1.5106382978723403
BR_0577,180,180,0,0,191,1.5106382978723403
BR_0255,178,178,0,0,192,1.504621882221691
BR_0245,77,77,16,16,84,1.495408312430101
BR_0764,173,173,1,1,180,1.491704413263434
BR_0302,37,37,22,22,43,1.4800200019875958
BR_0741,176,176,0,0,186,1.4737827715355805
BR_0499,164,164,0,0,192,1.4376842776316838
BR_0731,170,170,0,0,182,1.430910829548171
BR_0719,171,171,0,0,179,1.4250537891465456
BR_0497,162,162,0,0,188,1.4139373655271337
BR_0787,125,125,7,7,132,1.4132433480197495
BR_0347,161,161,1,1,172,1.4059605292886155
BR_0498,160,160,0,0,186,1.3972826520041437
BR_0608,165,165,0,0,179,1.3963662443222566
BR_0579,164,164,0,0,174,1.3738544903976413
BR_0112,47,47,18,18,53,1.3491255300638303
BR_0252,161,161,0,0,171,1.3488724201131563
BR_0712,161,161,0,0,171,1.3488724201131563
BR_0711,161,161,0,0,171,1.3488724201131563
BR_0326,160,160,0,0,172,1.347637261933222
BR_0301,159,159,0,0,173,1.3464021037532872
BR_0327,157,157,0,0,171,1.3297473902302972
BR_0372,154,154,0,0,173,1.3224958163997131
BR_0710,155,155,0,0,168,1.3095465774165274
BR_0345,23,23,21,21,27,1.3028027988604276
BR_0728,155,155,0,0,164,1.2953621802534068
BR_0300,146,146,1,1,161,1.295234575029312
BR_0630,143,143,0,0,166,1.2450792891863893
BR_0008,138,138,1,1,157,1.2428001181004729
BR_0039,139,139,1,1,148,1.2156664819541663
BR_0786,146,146,0,0,153,1.213323770818392
BR_0328,143,143,0,0,157,1.213164395569368
BR_0106,143,143,0,0,153,1.1989799984062475
BR_0319,143,143,0,0,153,1.1989799984062475
BR_0320,143,143,0,0,152,1.1954338991154674
BR_0782,143,143,0,0,151,1.1918877998246873
BR_0660,73,73,11,11,77,1.183750538088387
BR_0135,142,142,0,0,150,1.1835604430631923
BR_0122,88,88,8,8,102,1.1834958527645765
BR_0093,78,78,10,10,84,1.1789375105927433
BR_0111,140,140,0,0,150,1.1739979281217627
BR_0415,85,85,8,8,99,1.1585137824800915
BR_0349,97,97,6,6,109,1.144265845267113
BR_0097,135,135,0,0,146,1.1359072436050681
BR_0107,134,134,0,0,145,1.1275798868435731
BR_0500,131,131,0,0,149,1.1274205115945493
BR_0501,130,130,0,0,148,1.1190931548330545
BR_0329,131,131,0,0,145,1.113236114431429
BR_0013,127,127,0,0,148,1.10474938242091
BR_0158,128,128,0,0,146,1.1024384413100647
BR_0159,127,127,0,0,145,1.0941110845485695
BR_0014,125,125,0,0,146,1.08809466889792
BR_0001,126,126,0,0,139,1.0680532313331739
BR_0000,126,126,0,0,139,1.0680532313331739
BR_0357,125,125,0,0,139,1.063271973862459
BR_0548,123,123,0,0,141,1.0608016575025898
BR_0584,123,123,0,0,140,1.0572555582118097
BR_0098,125,125,0,0,137,1.0561797752808988
BR_0689,119,119,1,1,127,1.0455732474334876
BR_0071,123,123,0,0,132,1.0288867638855685
BR_0070,123,123,0,0,132,1.0288867638855685
BR_0618,123,123,0,0,131,1.0253406645947885
BR_0653,119,119,0,0,135,1.02040003187505
BR_0674,26,26,15,15,33,1.0171711077091803
BR_0123,119,119,0,0,134,1.0168539325842696
BR_0752,116,116,0,0,134,1.0025101601721254
BR_0346,93,93,4,4,103,0.9967801998702155
BR_0330,116,116,0,0,130,0.9883257630090048
BR_0709,116,116,0,0,130,0.9883257630090048
BR_0371,112,112,0,0,132,0.9762929317077058
BR_0753,114,114,0,0,129,0.9752171487767951
BR_0688,116,116,0,0,125,0.9705952665551041
BR_0099,115,115,0,0,126,0.9693601083751693
BR_0124,113,113,0,0,128,0.9668897920152999
BR_0068,113,113,0,0,122,0.9456131962706191
BR_0505,108,108,0,0,127,0.939437405370946
BR_0348,83,83,4,4,99,0.9347832279999471
BR_0256,109,109,0,0,124,0.9335803649693202
BR_0549,107,107,0,0,125,0.9275639493186709
BR_0084,109,109,0,0,121,0.9229420670969799
BR_0069,110,110,0,0,119,0.9206311259861344
BR_0727,109,109,0,0,118,0.9123037692246394
BR_0108,108,108,0,0,118,0.9075225117539247
BR_0103,17,17,14,14,23,0.885136787680267
BR_0113,106,106,0,0,113,0.8802295003585943
BR_0506,96,96,1,1,111,0.8788667369545649
BR_0703,102,102,0,0,116,0.8717427683480756
BR_0325,103,103,0,0,114,0.8694318272372301
